Reference, Value, Footprint, Datasheet, Availability, Description, MP, PN, Package, Price, manf#, DNP
"U1","SI8661AB-B-IS1","Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm","Silicon Labs","Warning","General Purpose tal Isolator 2500Vrms 6 Channel 1Mbps 35kV/µs CMTI 16-SOIC (0.154 , 3.90mm Width)","SI8661AB-B-IS1","SI8661AB-B-IS1","SOIC-16 Silicon Labs","2.12 USD","SI8661AB-B-IS1",""
"J1","CONN_01X10","Connectors_Molex:Molex_MicroLatch-53253-1070_10x2.00mm_Straight","","","","","53290-1080","","","53290-1080",""
"C1",".1u","Capacitor_SMD:C_0805_2012Metric","","","","","C","","","0201ZD104KAT2A",""
"C2",".1u","Capacitor_SMD:C_0805_2012Metric","","","","","C","","","",""
"R1","47","Resistor_SMD:R_0805_2012Metric","","","","","R","","","CRCW060347R0JNEB",""
"R2","47","Resistor_SMD:R_0805_2012Metric","","","","","R","","","",""
"R3","47","Resistor_SMD:R_0805_2012Metric","","","","","R","","","",""
"R4","47","Resistor_SMD:R_0805_2012Metric","","","","","R","","","",""
"R6","47","Resistor_SMD:R_0805_2012Metric","","","","","R","","","",""
"R7","47","Resistor_SMD:R_0805_2012Metric","","","","","R","","","",""
"R8","47","Resistor_SMD:R_0805_2012Metric","","","","","R","","","",""
"R9","47","Resistor_SMD:R_0805_2012Metric","","","","","R","","","",""
"R10","47","Resistor_SMD:R_0805_2012Metric","","","","","R","","","",""
"R12","47","Resistor_SMD:R_0805_2012Metric","","","","","R","","","",""
"G1","LOGO","Whatnick_logo:Whatnick_logo","","","","","X","","",""," "
"MS1","ADAFRUIT_FEATHERWING_FitHome","HappyDayEnergyMonitor:ADAFRUIT_FEATHER","","","","","X","","","",""
